nonStereoSMILES,descriptors,floral,fruity,green,herbal,sweet,woody
O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].[Al+3].[Al+3],odorless,0,0,0,0,0,0
C=C(C)C12CC(CC1CO)C(C)=C2C,clean;ozone;woody;fresh,0,0,0,0,0,1
Cc1ccc(Oc2ccccc2)cc1,green;floral;rose;metallic,1,0,1,0,0,0
O=C(O)CC(S)C(=O)O,sulfurous,0,0,0,0,0,0
CCCCCCC(C)=O,ketonic;natural;woody;weedy;earthy;herbal;apple;fatty;musty;green;fruity;cheesy;dairy,0,1,1,1,0,1
C=CC(C)(O)CCC=C(C)CCC=C(C)C,woody;waxy;floral;green;sweet;citrus,1,0,1,0,1,1
CC(=O)OC(C)CCCC(C)C,strawberry;fruity;sweet;peach,0,1,0,0,1,0
OCc1ccccc1,rose;phenolic;floral;almond;balsamic;sweet;fruity,1,1,0,0,1,0
CS1=CNCC1,garlic,0,0,0,0,0,0
CCCCC(S)CCOC,natural;tropical;black currant;sulfurous;herbal;fatty;green;fruity,0,1,1,1,0,0
CC(C)(C)C1CCC(=O)CC1,woody;camphoreous;mint;leathery;dry;musk,0,0,0,0,0,1
CCCC(CS)OC(C)=O,fruity;grapefruit;tomato;leafy;tropical;green,0,1,1,0,0,0
CCCC=CCOC(=O)CC,tropical;banana;ripe;apple;green;powdery;creamy;pear;fruity,0,1,1,0,0,0
CCCOC(CC)OC(C)CCC,alcoholic;ethereal;cognac;green,0,0,1,0,0,0
COc1cc(C=O)cc(-c2cc(C=O)cc(OC)c2O)c1O,creamy;milky;vanilla;fruity,0,1,0,0,0,0
N.O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Fe+3],odorless,0,0,0,0,0,0
CC(=O)C1C2CCC(C2)C1(C)C,woody;herbal;mint;apple;camphoreous,0,0,0,1,0,1
CCC(C)C(O)C(=O)OC,fruity;caramellic,0,1,0,0,0,0
O=c1cccc[nH]1,nutty;smoky;burnt;animal,0,0,0,0,0,0
CCCCCCCCCCCCCCCC=O,orris;fatty;waxy,0,0,0,0,0,0
CCCOC(=O)C=Cc1ccco1,tropical;caramellic;citrus;apple;spicy;honey;balsamic;strawberry;pear;sweet;fruity,0,1,0,0,1,0
COC(=O)CCSC,tropical;cabbage;pungent;tomato;sulfurous;garlic;vegetable;onion;green;radish;sweet;fruity,0,1,1,0,1,0
CC(C)=CCCC(C)=CCNC(=O)C1CC1,roasted;cooked;meaty,0,0,0,0,0,0
CCCCc1cccnc1,animal;fishy;earthy;green;sweet,0,0,1,0,1,0
CC(=O)OCc1ccccc1C,fruity;sweet;cherry;floral,1,1,0,0,1,0
CCCCOC(C)OCC,rummy;cognac;brandy;alcoholic;green;winey;fruity;ethereal,0,1,1,0,0,0
CC(=O)OCc1ccc(C(C)C)cc1,herbal;bergamot;fresh;sweet;fruity,0,1,0,1,1,0
CC1C(=O)CC2(C(C)C)CC12,woody;herbal;spicy;warm;cedar,0,0,0,1,0,1
CC1C=CCCC1,citrus,0,0,0,0,0,0
COc1ccc(OC)c(C(C)(C)C)c1,woody;vetiver,0,0,0,0,0,1
COc1ccc2ccc(=O)oc2c1CC=C(C)C,herbal;musty;dry,0,0,0,1,0,0
C=C(C)C(=S)OCC,plum;fruity;sulfurous;sour;grape;sweet;onion,0,1,0,0,1,0
COC1(C)CCC23CC1C(C)(C)C2CCC3C,woody;earthy;amber;dry;cedar;vetiver,0,0,0,0,0,1
C=CC(O)CC=CCC,geranium;leafy;mushroom;earthy;green;metallic,0,0,1,0,0,0
CCCc1ccccc1O,medicinal;phenolic;smoky;spicy;balsamic,0,0,0,0,0,0
CCCCC(C)CCC(=O)O,milky;meaty;waxy;musty;sweaty;fatty;lactonic;creamy;fresh;cheesy;dairy,0,0,0,0,0,0
CC(=O)c1ccc(C)[nH]1,roasted;earthy,0,0,0,0,0,0
